participantnumbers,Infantage,sex,priorexpt,angry_dt_infancy,fearful_dt_infancy,happy_dt_infancy,nonface_dt_infancy,angry_dtntrial_infancy,fearful_dtntrial_infancy,happy_dtntrial_infancy,nonface_dtntrial_infancy,dtntrial_infancy_min,angry_dt_3yr,fearful_dt_3yr,happy_dt_3yr,nonface_dt_3yr,angry_dtntrial_3yr,fearful_dtntrial_3yr,happy_dtntrial_3yr,nonface_dtntrial_3yr,dtntrial_3yr_min,AngryHappy_dt_ratio_3yr,FearfulHappy_dt_ratio_3yr,AngryHappy_sl_ratio_3yr,FearfulHappy_sl_ratio_3yr,AngryHappy_dt_ratio_infancy,FearfulHappy_dt_ratio_infancy,AngryHappy_sl_ratio_infancy,FearfulHappy_sl_ratio_infancy,DifferentERPscores,AngryHappy_P400amp_ratio_infancy,FearHappy_P400amp_ratio_infancy,AngryHappy_P400lat_ratio_infancy,FearHappy_P400lat_ratio_infancy,AngryHappy_Ncamp_ratio_infancy,FearHappy_Ncamp_ratio_infancy,AngryHappy_N290lat_ratio_infancy,FearHappy_N290lat_ratio_infancy,AngryHappy_N290amp_ratio_infancy,FearHappy_N290amp_ratio_infancy,AngryHappy_P400amp_ratio_3yr,FearHappy_P400amp_ratio_3yr,AngryHappy_P400lat_ratio_3yr,FearHappy_P400lat_ratio_3yr,AngryHappy_Ncamp_ratio_3yr,FearHappy_Ncamp_ratio_3yr,AngryHappy_N290lat_ratio_3yr,FearHappy_N290lat_ratio_3yr,AngryHappy_N290amp_ratio_3yr,FearHappy_N290amp_ratio_3yr
682,7,1,3,.497718,.485876,.24967425,.221897666666667,5,5,4,6,4,.93128,1,1,.63112,6,5,5,5,5,-.0355826187813264,0, , ,.331878943085107,.32112252018132,.125647184684766,.112161537301044, , , , , , , , , , , , , , , , , , , , , 
683,7,0,3,.300315166666667,.356478,.274096666666667,.278098,6,5,3,5,3,.911669,.88209,.90968,.54859,6,5,5,6,5,.00109204770749588,-.0153981816862655,-.0571341338448289,.0976176510433258,.0456440805682102,.130644850940201,.0282715605361994,.0837604122158516, , , , , , , , , , , , , , , , , , , , , 
685,7,1,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,-.165498225806952,-.436715072172995, , , , , , , , , , , , , , , , , , , , , 
686,7,0,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,-.293066648509849,-.0220054174557135, , , , , , , , , , , , , , , , , , , , , 
687,7,0,3,.30358,.218672166666667,.1331062,.146833333333333,6,6,5,6,5,.88992,.75465,.564309,.58018,5,6,5,5,5,.223906276109196,.144311536598181,.175725941514903,.0409252505400268,.390380552442463,.243238285166484,.215892290526299,.121419498150036, , , , , , , , , , , , , , , , , , , , , 
688,7,0,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,-.0169177549828767,-.0345626740347255, , , , , , , , , , , , , , , , , , , , , 
689,7,0,3,.4246735,.1859755,.321374,.444228333333333,6,4,5,6,4,.42595,.454579,.39971,.4975,4,5,5,5,4,.0317806360971828,.0642276793918686,.171424701977953,.0744848388365372,.13846236332137,-.266874215900479,-.0229229943892512,.0496047969473971, , , , , , , , , , , , , , , , , , , , , 
690,5,0,3,.1291972,.140253333333333,.1811635,.12724325,5,6,4,4,4, , , , , , , , ,0, , , , ,-.16743840312256,-.127280722177484,-.0783415696266832,-.0606604280500484, , , , , , , , , , , , , , , , , , , , , 
691,7,1,3,.440803833333333,.4704662,.32831,.816718333333333,6,5,4,6,4,.72019,.7721,.65983,.79383,4,5,3,2,3,.0437384965435283,.0784046706193738,.0933475166563052,.0891573241543485,.146264217932196,.177967495776664,.285575162623223,.0226711542586549, , , , , , , , , , , , , , , , , , , , , 
692,5,1,3, , , , , , , , ,0,.787869,.685779,.67422,.63092,5,6,5,5,5,.0777305622297959,.00849927095534628,.130058692031542,.115784938093267, , , , , , , , , , , , , , , , , , , , , , , , , 
693,7,0,3,.391905166666667,.65011,.542218333333333,.2644735,6,6,6,6,6, , , , , , , , ,0, , , , ,-.160913590833189,.090488218429767,-.0459581589201307,-.0135644213240679, , , , , , , , , , , , , , , , , , , , , 
694,7,1,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , ,.0454807834806083,.159934699403117, , , , , , , , , , , , , , , , , , , , , 
695,7,0,3,.282018,.375538333333333,.300445166666667,.262446,5,6,6,5,5, , , , , , , , ,0, , , , ,-.0316366213714802,.111087277524772,.152713697293232,.11793016177424, , , , , , , , , , , , , , , , , , , , , 
696,5,0,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , , ,.0372046001714145, , , , , , , , , , , , , , , , , , , , , 
697,5,1,3,.418102666666667,.541920666666667,.23499,.282012,3,3,4,5,3,.65871,.32318,.430879,.71233,5,4,4,3,4,.209098109470635,-.142825694010681,-.305293397718537,-.0972924879090589,.280377771811861,.395065584545971,-.150804716837564,.271654908422307, , , , , , , , , , , , , , , , , , , , , 
698,7,0,3,.672996666666667,.803788333333333,.787268333333333,.274155333333333,6,6,6,6,6,.960659,.960659,.897739,.77083,6,6,5,6,5,.0338571177971565,.0338571177971565,.0105495977484685,.0105433435575571,-.0782540611920896,.0103830368497246,-.17946389415756,-.121873355961657, , , , , , , , , , , , , , , , , , , , , 
699,5,1,3,.3133275,.3409244,.187936,.26437,4,5,5,4,4,.349279,.352559,.21539,.31657,6,6,6,6,6,.237110590452106,.241516403761605,.145903084965597,.148950940584706,.250150868754657,.289279363703541,.146797867269434,-.0164262307777626, , , , , , , , , , , , , , , , , , , , , 
700,7,1,3,.355828333333333,.2506266,.336195,.348624,6,5,6,5,5, , , , , , , , ,0, , , , ,.0283709123488129,-.145816718403004,.0187903897683006,-.0910533077932576, , , , , , , , , , , , , , , , , , , , , 
